14 AWG,0.657,1.314,0.759,0.759,20,20,25
12 AWG,1.014,2.027,1.171,1.171,25,25,30
10 AWG,1.675,3.351,1.935,1.935,30,35,40
8 AWG,2.541,5.082,2.934,2.934,40,50,55
6 AWG,3.961,7.921,4.573,4.573,55,65,75
4 AWG,6.089,12.177,7.030,7.030,70,85,95
2 AWG,9.513,19.026,10.985,10.985,95,115,130
1/0 AWG,14.115,28.229,16.298,16.298,125,150,170
2/0 AWG,16.433,32.866,18.975,18.975,145,175,195
3/0 AWG,20.246,40.491,23.378,23.378,165,200,225
4/0 AWG,23.909,47.819,27.608,27.608,195,230,260
250 KCM,27.048,54.096,31.233,31.233,215,255,290
300 KCM,30.217,60.434,34.892,34.892,240,285,320
350 KCM,33.455,66.910,38.630,38.630,260,310,350
400 KCM,36.411,72.822,42.044,42.044,280,335,380
500 KCM,41.203,82.407,47.577,47.577,320,380,430
600 KCM,44.780,89.560,51.708,51.708,355,420,475
750 KCM,49.775,99.550,57.475,57.475,400,475,535
1000 KCM,55.978,111.957,64.638,64.638,455,545,615
